count_very_low,count_low,count_medium,count_high,count_very_high,total_pixels,pct_very_low,pct_low,pct_medium,pct_high,pct_very_high,wind_index,state,rank
0,0,0,8093691,0,8093691,0,0,0,100,0,40,Katsina,1
17653,0,0,15736373,0,15754026,0.112053897,0,0,99.8879461,0,39.95517844,Sokoto,2
124993,0,0,26906778,0,27031771,0.462392938,0,0,99.53760706,0,39.81504282,Yobe,3
122078,0,0,14642167,0,14764245,0.826848918,0,0,99.17315108,0,39.66926043,Zamfara,4
697133,0,0,63066143,0,63763276,1.093314277,0,0,98.90668572,0,39.56267429,Borno,5
415620,0,0,6096514,0,6512134,6.382239678,0,0,93.61776032,0,37.44710413,Gombe,6
408657,0,0,3807681,0,4216338,9.692225813,0,0,90.30777419,0,36.12310967,Jigawa,7
2030849,0,0,12598593,0,14629442,13.8819307,0,0,86.1180693,0,34.44722772,Plateau,8
833665,0,0,4393206,0,5226871,15.94959967,0,0,84.05040033,0,33.62016013,Kano,9
6568212,0,0,25206095,0,31774307,20.67145634,0,0,79.32854366,0,31.73141746,Kaduna,10
5527408,0,0,15014741,0,20542149,26.90764243,0,0,73.09235757,0,29.23694303,Bauchi,11
4491714,0,0,8071055,0,12562769,35.75417171,0,0,64.24582829,0,25.69833132,Kebbi,12
8430900,0,0,10703607,0,19134507,44.0612345,0,0,55.9387655,0,22.3755062,Adamawa,13
8525522,0,0,7369326,0,15894848,53.63701496,0,0,46.36298504,0,18.54519402,Benue,14
10506712,0,0,8790723,0,19297435,54.44615826,0,0,45.55384174,0,18.2215367,Kwara,15
20256591,0,0,10432315,0,30688906,66.00623365,0,0,33.99376635,0,13.59750654,Niger,16
3753411,0,0,1887042,0,5640453,66.54449563,0,0,33.45550437,0,13.38220175,Ekiti,17
28264912,0,0,12186670,0,40451582,69.8734403,0,0,30.1265597,0,12.05062388,Taraba,18
2580932,0,0,973903,0,3554835,72.60342604,0,0,27.39657396,0,10.95862958,Lagos,19
10391822,0,0,3685027,0,14076849,73.82207481,0,0,26.17792519,0,10.47117008,Oyo,20
19637685,0,0,3785403,0,23423088,83.83900961,0,0,16.16099039,0,6.464396155,Kogi,21
4418728,0,0,719764,0,5138492,85.9926998,0,0,14.0073002,0,5.602920078,Enugu,22
1157616,0,0,149785,0,1307401,88.54330079,0,0,11.45669921,0,4.582679683,Ebonyi,23
3214074,0,0,375112,0,3589186,89.54882806,0,0,10.45117194,0,4.180468775,Anambra,24
12561318,0,0,1326048,0,13887366,90.45140742,0,0,9.548592584,0,3.819437034,Nasarawa,25
4819377,0,0,421872,0,5241249,91.9509262,0,0,8.049073799,0,3.21962952,Federal Capital Territory,26
17634508,0,0,1446814,0,19081322,92.41764276,0,0,7.582357239,0,3.032942896,Cross River,27
15275349,0,0,819386,0,16094735,94.9089811,0,0,5.091018895,0,2.036407558,Delta,28
15241561,0,0,785943,0,16027504,95.09628573,0,0,4.903714265,0,1.961485706,Edo,29
10617094,0,0,523468,0,11140562,95.30124243,0,0,4.698757567,0,1.879503027,Ogun,30
7591507,0,0,355441,0,7946948,95.52732697,0,0,4.472673031,0,1.789069212,Osun,31
13939294,0,0,582816,0,14522110,95.9866989,0,0,4.013301097,0,1.605320439,Ondo,32
9853129,0,0,325580,0,10178709,96.80136253,0,0,3.19863747,0,1.279454988,Bayelsa,33
4008289,0,0,105506,0,4113795,97.43531216,0,0,2.564687837,0,1.025875135,Abia,34
9497644,0,0,180812,0,9678456,98.13180945,0,0,1.868190546,0,0.747276218,Rivers,35
4081125,0,0,5216,0,4086341,99.87235524,0,0,0.127644756,0,0.051057902,Imo,36
6332103,0,0,7871,0,6339974,99.87585123,0,0,0.124148774,0,0.04965951,Akwa Ibom,37
